No,Tanggal,Sopir,Plat Nomor,Order,Volume (L),Pemasukan,Pengeluaran,Jenis Transaksi,Jumlah,Keterangan
1.0,2024-06-01,Pak Joko,H 1111 AA,Depot Air Sehat,6000.0,366245.0,0.0,Pemasukan,366245.0,Pembayaran lunas
2.0,2024-06-01,Pak Dedi,H 2222 BB,Depot Air Sehat,8000.0,360609.0,0.0,Pemasukan,360609.0,Pembayaran lunas
3.0,2024-06-01,Pak Rudi,H 2222 BB,Warung Lesehan Berkah,10000.0,367988.0,0.0,Pemasukan,367988.0,Pembayaran lunas
4.0,2024-06-01,Pak Slamet,H 1234 CD,Ganti Oli,8400.0,0.0,111296.0,Pengeluaran,-111296.0,Biaya ganti oli
5.0,2024-06-02,Pak Slamet,H 2222 BB,Warung Lesehan Berkah,10000.0,313188.0,0.0,Pemasukan,313188.0,Pembayaran lunas
6.0,2024-06-02,Pak Rudi,H 3333 CC,Isi Solar,8400.0,0.0,205856.0,Pengeluaran,-205856.0,Biaya isi solar
7.0,2024-06-02,Pak Rudi,H 2222 BB,Warung Makan Sari Rasa,6000.0,392461.0,0.0,Pemasukan,392461.0,Pembayaran lunas
8.0,2024-06-03,Pak Budi,H 2222 BB,Ganti Oli,8400.0,0.0,164795.0,Pengeluaran,-164795.0,Biaya ganti oli
9.0,2024-06-03,Pak Budi,H 1111 AA,Warung Makan Sari Rasa,8000.0,357965.0,0.0,Pemasukan,357965.0,Pembayaran lunas
10.0,2024-06-03,Pak Hendra,H 2222 BB,Toko Sumber Rejeki,6000.0,309674.0,0.0,Pemasukan,309674.0,Pembayaran lunas
11.0,2024-06-03,Pak Eko,H 4444 DD,Warung Makan Sari Rasa,6000.0,371550.0,0.0,Pemasukan,371550.0,Pembayaran lunas
12.0,2024-06-04,Pak Slamet,H 3333 CC,Depot Tirta Jaya,8000.0,316485.0,0.0,Pemasukan,316485.0,Pembayaran lunas
13.0,2024-06-04,Pak Slamet,H 1234 CD,Warung Makan Sari Rasa,6000.0,330979.0,0.0,Pemasukan,330979.0,Pembayaran lunas
14.0,2024-06-04,Pak Dedi,H 2222 BB,Depot Air Segar,6000.0,299355.0,0.0,Pemasukan,299355.0,Pembayaran lunas
15.0,2024-06-04,Pak Rudi,H 1111 AA,Warung Makan Sari Rasa,8000.0,296663.0,0.0,Pemasukan,296663.0,Pembayaran lunas
16.0,2024-06-05,Pak Andi,H 3333 CC,Depot Air Segar,10000.0,377378.0,0.0,Pemasukan,377378.0,Pembayaran lunas
17.0,2024-06-05,Pak Dedi,H 4444 DD,Cuci Truk,8400.0,0.0,146431.0,Pengeluaran,-146431.0,Biaya cuci truk
18.0,2024-06-06,Pak Joko,H 1111 AA,Depot Air Segar,8000.0,398030.0,0.0,Pemasukan,398030.0,Pembayaran lunas
19.0,2024-06-06,Pak Dedi,H 5678 XY,Toko Sumber Rejeki,8000.0,372953.0,0.0,Pemasukan,372953.0,Pembayaran lunas
20.0,2024-06-07,Pak Andi,H 3333 CC,Depot Tirta Jaya,10000.0,335442.0,0.0,Pemasukan,335442.0,Pembayaran lunas
21.0,2024-06-07,Pak Dedi,H 1234 CD,Perbaikan Ban,8400.0,0.0,175609.0,Pengeluaran,-175609.0,Biaya perbaikan ban
22.0,2024-06-07,Pak Budi,H 5678 XY,Warung Lesehan Berkah,6000.0,303716.0,0.0,Pemasukan,303716.0,Pembayaran lunas
23.0,2024-06-07,Pak Hendra,H 2222 BB,Servis Mesin,8400.0,0.0,212040.0,Pengeluaran,-212040.0,Biaya servis mesin
24.0,2024-06-08,Pak Eko,H 1111 AA,Toko Sumber Rejeki,8000.0,354803.0,0.0,Pemasukan,354803.0,Pembayaran lunas
25.0,2024-06-08,Pak Budi,H 3333 CC,Depot Air Sehat,6000.0,373515.0,0.0,Pemasukan,373515.0,Pembayaran lunas
26.0,2024-06-08,Pak Hendra,H 2222 BB,Isi Solar,8400.0,0.0,199655.0,Pengeluaran,-199655.0,Biaya isi solar
27.0,2024-06-09,Pak Rudi,H 5678 XY,Depot Tirta Jaya,10000.0,376188.0,0.0,Pemasukan,376188.0,Pembayaran lunas
28.0,2024-06-09,Pak Andi,H 2222 BB,Toko Sumber Rejeki,6000.0,295860.0,0.0,Pemasukan,295860.0,Pembayaran lunas
29.0,2024-06-09,Pak Slamet,H 1234 CD,Warung Lesehan Berkah,10000.0,358587.0,0.0,Pemasukan,358587.0,Pembayaran lunas
30.0,2024-06-09,Pak Hendra,H 4444 DD,Servis Mesin,8400.0,0.0,155203.0,Pengeluaran,-155203.0,Biaya servis mesin
31.0,2024-06-10,Pak Hendra,H 3333 CC,Warung Makan Sari Rasa,8000.0,294432.0,0.0,Pemasukan,294432.0,Pembayaran lunas
32.0,2024-06-10,Pak Rudi,H 1111 AA,Depot Air Segar,8000.0,330467.0,0.0,Pemasukan,330467.0,Pembayaran lunas
33.0,2024-06-10,Pak Slamet,H 4444 DD,Depot Air Segar,10000.0,301090.0,0.0,Pemasukan,301090.0,Pembayaran lunas
34.0,2024-06-10,Pak Joko,H 1111 AA,Toko Maju Jaya,10000.0,298785.0,0.0,Pemasukan,298785.0,Pembayaran lunas
35.0,2024-06-11,Pak Joko,H 3333 CC,Toko Sumber Rejeki,6000.0,396760.0,0.0,Pemasukan,396760.0,Pembayaran lunas
36.0,2024-06-11,Pak Budi,H 2222 BB,Toko Maju Jaya,8000.0,369536.0,0.0,Pemasukan,369536.0,Pembayaran lunas
